Scenario,Object Type,Object Name,Data Source,Category,Data Item,Statistic Type,Average,Minimum,Maximum,Half Width,Standard Deviation
Scenario1,ModelEntity,ModelEntity1,[Population],Content,NumberInSystem,Average,4.95527283306515,4.40670279648164,5.7966676357901,0.190316195765201,0.343632380751596
Scenario1,ModelEntity,ModelEntity1,[Population],Content,NumberInSystem,Maximum,36,28,44,2.99715758201476,5.41162769282166
Scenario1,ModelEntity,ModelEntity1,[Population],Content,NumberInSystem,Minimum,0,0,0,0,0
Scenario1,ModelEntity,ModelEntity1,[Population],FlowTime,TimeInSystem,Average (Minutes),4.94763742493705,4.4649094170285,5.74012998021536,0.173814656081536,0.313837421133127
Scenario1,ModelEntity,ModelEntity1,[Population],FlowTime,TimeInSystem,Maximum (Minutes),31.9408829703872,24.3644366282376,39.5273548832199,2.73297149435288,4.93461682204584
Scenario1,ModelEntity,ModelEntity1,[Population],FlowTime,TimeInSystem,Minimum (Minutes),0.899999999999181,0.899999999999181,0.899999999999181,0,0
Scenario1,ModelEntity,ModelEntity1,[Population],FlowTime,TimeInSystem,Observations,33099.3333333333,32629,33581,135.889829875423,245.360861550803
Scenario1,ModelEntity,ModelEntity1,[Population],Throughput,NumberCreated,Total,33099.7333333333,32629,33576,135.550304838673,244.747819679962
Scenario1,ModelEntity,ModelEntity1,[Population],Throughput,NumberDestroyed,Total,33099.3333333333,32629,33581,135.889829875423,245.360861550803
Scenario1,Server,Server1,[Resource],Capacity,ScheduledUtilization,Percent,90.1074626420222,88.8267928132434,91.4167836365656,0.369693624870451,0.667513870546531
Scenario1,Server,Server1,[Resource],Capacity,UnitsAllocated,Total,33099.2,32629,33580,135.748765588705,245.106157759099
Scenario1,Server,Server1,[Resource],Capacity,UnitsScheduled,Average,1,1,1,0,0
Scenario1,Server,Server1,[Resource],Capacity,UnitsScheduled,Maximum,1,1,1,0,0
Scenario1,Server,Server1,[Resource],Capacity,UnitsScheduled,Minimum,1,1,1,0,0
Scenario1,Server,Server1,[Resource],Capacity,UnitsUtilized,Average,0.901074626420222,0.888267928132434,0.914167836365656,0.00369693624870451,0.00667513870546531
Scenario1,Server,Server1,[Resource],Capacity,UnitsUtilized,Maximum,1,1,1,0,0
Scenario1,Server,Server1,[Resource],Capacity,UnitsUtilized,Minimum,0,0,0,0,0
Scenario1,Server,Server1,[Resource],ResourceState,TimeProcessing,Average (Minutes),9.13548059864041,8.02572771359887,10.3999961012555,0.359313967968263,0.648772500699669
Scenario1,Server,Server1,[Resource],ResourceState,TimeProcessing,Occurrences,3274.53333333333,2906,3659,114.588336845422,206.899170289943
Scenario1,Server,Server1,[Resource],ResourceState,TimeProcessing,Percent,90.1074626420222,88.8267928132434,91.4167836365656,0.369693624870451,0.667513870546531
Scenario1,Server,Server1,[Resource],ResourceState,TimeProcessing,Total (Minutes),29789.5271494525,29366.1377040583,30222.3886702486,122.220712382171,220.680085602683
