Scenario,Object Type,Object Name,Data Source,Category,Data Item,Statistic Type,Average,Minimum,Maximum,Half Width,Standard Deviation
Scenario1,ModelEntity,DefaultEntity,[Population],Content,NumberInSystem,Average,9.18857982962665,8.01994202365917,10.5865534186261,0.429186647584863,0.774933677627396
Scenario1,ModelEntity,DefaultEntity,[Population],Content,NumberInSystem,Maximum,60.2666666666667,53,69,3.32609515798932,6.00555298591784
Scenario1,ModelEntity,DefaultEntity,[Population],Content,NumberInSystem,Minimum,0,0,0,0,0
Scenario1,ModelEntity,DefaultEntity,[Population],FlowTime,TimeInSystem,Average (Minutes),9.18185423215692,8.06305960776139,10.5150233919004,0.398768565235849,0.720011194475276
Scenario1,ModelEntity,DefaultEntity,[Population],FlowTime,TimeInSystem,Maximum (Minutes),56.4139480699284,46.7794609281373,70.645414470826,3.41537197193253,6.16675000857729
Scenario1,ModelEntity,DefaultEntity,[Population],FlowTime,TimeInSystem,Minimum (Minutes),0.000357868881252443,2.05218566406984E-05,0.00111708285203349,0.000185773283246715,0.000335429758594312
Scenario1,ModelEntity,DefaultEntity,[Population],FlowTime,TimeInSystem,Observations,33071.2666666667,32732,33478,124.088444957043,224.052438589932
Scenario1,ModelEntity,DefaultEntity,[Population],Throughput,NumberCreated,Total,33071.9333333333,32704,33497,127.37837448383,229.992691395266
Scenario1,ModelEntity,DefaultEntity,[Population],Throughput,NumberDestroyed,Total,33071.2666666667,32732,33478,124.088444957043,224.052438589932
Scenario1,Server,Server1,[Resource],Capacity,ScheduledUtilization,Percent,90.0276132390628,88.8122217797,91.6539528221034,0.437937556784727,0.790734202380426
Scenario1,Server,Server1,[Resource],Capacity,UnitsAllocated,Total,33071.1333333333,32732,33478,124.061498253314,224.003783981644
Scenario1,Server,Server1,[Resource],Capacity,UnitsScheduled,Average,1,1,1,0,0
Scenario1,Server,Server1,[Resource],Capacity,UnitsScheduled,Maximum,1,1,1,0,0
Scenario1,Server,Server1,[Resource],Capacity,UnitsScheduled,Minimum,1,1,1,0,0
Scenario1,Server,Server1,[Resource],Capacity,UnitsUtilized,Average,0.900276132390628,0.888122217797,0.916539528221034,0.00437937556784727,0.00790734202380426
Scenario1,Server,Server1,[Resource],Capacity,UnitsUtilized,Maximum,1,1,1,0,0
Scenario1,Server,Server1,[Resource],Capacity,UnitsUtilized,Minimum,0,0,0,0,0
Scenario1,Server,Server1,[Resource],ResourceState,TimeProcessing,Average (Minutes),9.12792272923736,7.86323527594238,10.8024231026693,0.441464883380392,0.797103096162079
